"Save Rule","Save Rule"
"Delete Rule","Delete Rule"
"Save and Continue Edit","Save and Continue Edit"
"Ip Filter","Ip Filter"
"Rules","Rules"
"You deleted the rule.","You deleted the rule."
"We can't find a rule to delete.","We can't find a rule to delete."
"This rule no longer exists.","This rule no longer exists."
"New Rule","New Rule"
"Edit Rule","Edit Rule"
"Please correct the data sent.","Please correct the data sent."
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"A total of %1 record(s) have been disabled.","A total of %1 record(s) have been disabled."
"A total of %1 record(s) have been enabled.","A total of %1 record(s) have been enabled."
"You saved the rule.","You saved the rule."
"Ip Filter Section","Ip Filter Section"
"Enabled","Enabled"
"Policy","Policy"
"Default action for IP address for which active rule is not defined.","Default action for IP address for which active rule is not defined."
"Configuration","Configuration"
"Forbidden","Forbidden"
"The page cannot be displayed due to policy restrictions.","The page cannot be displayed due to policy restrictions."
"Allow","Allow"
"Deny","Deny"
"Invalid address.","Invalid address."
"Address is already defined.","Address is already defined."
"Enabled","Enabled"
"Disabled","Disabled"
"Rule with id ""%1"" does not exist.","Rule with id ""%1"" does not exist."
